Day,Node 1,Node 2,Start,End,Duration
1,49,17,406,407,2
1,49,17,415,415,1
1,49,17,455,456,2
1,49,17,476,476,1
1,49,17,522,522,1
1,49,17,541,541,1
1,49,17,558,558,1
1,49,17,560,560,1
1,49,17,662,663,2
1,49,17,667,667,1
1,49,17,676,676,1
1,49,17,694,694,1
1,49,17,696,696,1
1,49,17,725,725,1
1,49,17,762,763,2
1,49,17,766,766,1
1,49,17,771,771,1
1,49,17,843,843,1
1,49,17,845,845,1
1,46,0,413,413,1
1,46,0,609,611,3
1,46,0,615,618,4
1,46,0,620,629,10
1,46,0,654,654,1
1,46,0,706,706,1
1,46,0,708,708,1
1,46,0,710,710,1
1,46,0,717,717,1
1,46,0,723,727,5
1,46,0,734,739,6
1,46,0,741,747,7
1,46,0,750,752,3
1,46,0,754,758,5
1,46,0,760,764,5
1,46,0,766,770,5
1,46,0,783,783,1
1,46,0,787,789,3
1,46,0,795,801,7
1,46,0,803,806,4
1,46,0,814,814,1
1,46,0,816,817,2
1,46,0,825,825,1
1,46,0,827,827,1
1,46,0,832,832,1
1,46,0,838,843,6
1,46,0,845,846,2
1,46,0,848,848,1
1,46,0,850,860,11
1,46,0,863,863,1
1,46,0,869,869,1
1,46,0,872,872,1
1,46,0,882,882,1
1,46,0,886,886,1
1,46,0,892,892,1
1,46,0,900,902,3
1,46,0,904,905,2
1,46,0,912,915,4
1,46,0,918,918,1
1,46,0,921,921,1
1,46,0,924,926,3
1,46,0,929,929,1
1,46,0,932,932,1
1,46,0,934,935,2
1,46,0,938,939,2
1,46,0,941,941,1
1,46,0,956,979,24
1,46,0,1730,1730,1
1,46,0,1960,1960,1
1,46,0,2009,2009,1
1,46,0,2012,2012,1
1,46,0,2152,2154,3
1,48,0,414,417,4
1,48,0,423,428,6
1,48,0,432,433,2
1,48,0,440,444,5
1,48,0,454,461,8
1,48,0,463,463,1
1,48,0,467,496,30
1,48,0,499,505,7
1,48,0,507,514,8
1,48,0,516,522,7
1,48,0,525,529,5
1,48,0,532,561,30
1,48,0,565,571,7
1,48,0,574,590,17
1,48,0,602,602,1
1,48,0,604,604,1
1,48,0,606,608,3
1,48,0,611,611,1
1,48,0,624,624,1
1,48,0,627,628,2
1,48,0,631,631,1
1,48,0,633,633,1
1,48,0,642,642,1
1,48,0,650,650,1
1,48,0,655,659,5
1,48,0,661,662,2
1,48,0,665,665,1
1,48,0,668,668,1
1,48,0,671,673,3
1,48,0,677,677,1
1,48,0,681,687,7
1,48,0,689,693,5
1,48,0,704,711,8
1,48,0,730,731,2
1,48,0,734,734,1
1,48,0,738,738,1
1,48,0,742,742,1
1,48,0,745,750,6
1,48,0,753,754,2
1,48,0,758,758,1
1,48,0,763,763,1
1,48,0,767,767,1
1,48,0,769,769,1
1,48,0,771,771,1
1,48,0,773,774,2
1,48,0,779,779,1
1,48,0,784,786,3
1,48,0,788,791,4
1,48,0,794,797,4
1,48,0,800,801,2
1,48,0,804,807,4
1,48,0,809,812,4
1,48,0,814,815,2
1,48,0,865,865,1
1,48,0,870,873,4
1,48,0,876,879,4
1,48,0,886,886,1
1,48,0,888,888,1
1,48,0,926,926,1
1,48,0,1061,1081,21
1,48,0,1167,1167,1
1,48,0,1360,1361,2
1,48,0,1363,1364,2
1,48,0,1366,1375,10
1,48,0,1377,1377,1
1,48,0,1381,1382,2
1,48,0,1384,1384,1
1,48,0,1387,1389,3
1,48,0,1417,1417,1
1,48,0,1515,1516,2
1,48,0,1538,1538,1
1,48,0,1786,1786,1
1,48,0,1825,1825,1
1,48,0,1828,1831,4
1,48,0,1848,1848,1
1,48,0,1953,1953,1
1,48,0,1983,1983,1
1,48,0,2010,2010,1
1,48,0,2012,2014,3
1,48,0,2114,2116,3
1,48,0,2151,2161,11
1,48,0,2166,2166,1
1,48,0,2182,2185,4
1,46,17,418,418,1
1,46,17,420,420,1
1,46,17,422,424,3
1,46,17,427,429,3
1,46,17,433,436,4
1,46,17,438,439,2
1,46,17,443,457,15
1,46,17,459,466,8
1,46,17,469,473,5
1,46,17,475,488,14
1,46,17,491,506,16
1,46,17,508,512,5
1,46,17,514,520,7
1,46,17,522,528,7
1,46,17,535,536,2
1,46,17,539,539,1
1,46,17,545,546,2
1,46,17,548,551,4
1,46,17,556,562,7
1,46,17,571,571,1
1,46,17,574,574,1
1,46,17,576,577,2
1,46,17,580,580,1
1,46,17,582,583,2
1,46,17,585,585,1
1,46,17,587,587,1
1,46,17,592,594,3
1,46,17,596,596,1
1,46,17,601,606,6
1,46,17,1027,1027,1
1,46,17,1095,1095,1
1,46,17,1204,1204,1
1,46,17,1265,1266,2
1,46,17,1409,1410,2
1,46,17,1601,1601,1
1,46,17,1708,1708,1
1,46,17,1745,1745,1
1,46,17,1916,1919,4
1,46,17,1925,1925,1
1,46,17,1930,1931,2
1,46,17,1934,1934,1
1,46,17,1938,1939,2
1,46,17,1941,1941,1
1,46,17,1949,1949,1
1,46,17,1962,1969,8
1,46,17,1971,1978,8
1,46,17,1980,1980,1
1,46,17,1982,1983,2
1,46,17,1989,1992,4
1,46,17,1994,1995,2
1,46,17,1997,2001,5
1,46,17,2054,2054,1
1,46,17,2056,2057,2
1,46,17,2061,2063,3
1,46,17,2068,2071,4
1,46,17,2073,2075,3
1,46,17,2079,2080,2
1,46,17,2089,2089,1
1,46,17,2091,2091,1
1,46,17,2094,2094,1
1,46,17,2098,2100,3
1,46,17,2102,2102,1
1,46,17,2124,2124,1
1,46,17,2126,2128,3
1,46,17,2141,2141,1
1,46,17,2144,2144,1
1,46,17,2146,2146,1
1,46,17,2160,2160,1
1,46,17,2169,2169,1
1,46,17,2173,2173,1
1,46,17,2250,2250,1
1,46,17,2259,2260,2
1,46,17,2264,2264,1
1,46,17,2273,2273,1
1,46,17,2277,2277,1
1,46,17,2309,2309,1
1,46,17,2326,2326,1
1,46,17,2338,2338,1
1,46,17,2343,2343,1
1,46,17,2345,2346,2
1,46,17,2352,2352,1
1,46,17,2369,2369,1
1,46,17,2383,2383,1
1,46,17,2391,2392,2
1,46,17,2395,2395,1
1,44,0,425,429,5
1,44,0,431,436,6
1,44,0,545,545,1
1,44,0,559,571,13
1,44,0,616,616,1
1,44,0,618,618,1
1,44,0,620,620,1
1,44,0,640,640,1
1,44,0,644,647,4
1,44,0,678,680,3
1,44,0,683,684,2
1,44,0,704,706,3
1,44,0,734,741,8
1,44,0,743,743,1
1,44,0,745,745,1
1,44,0,958,961,4
1,44,0,973,973,1
1,42,0,426,428,3
1,42,0,560,561,2
1,42,0,567,569,3
1,42,0,576,583,8
1,42,0,586,586,1
1,42,0,589,607,19
1,42,0,611,612,2
1,42,0,625,627,3
1,42,0,632,633,2
1,42,0,636,640,5
1,42,0,643,649,7
1,42,0,836,841,6
1,42,0,875,875,1
1,42,0,878,878,1
1,42,0,883,883,1
1,42,0,885,885,1
1,42,0,902,902,1
1,42,0,907,907,1
1,42,0,912,914,3
1,42,0,958,959,2
1,42,0,964,964,1
1,42,0,969,969,1
1,42,0,1000,1000,1
1,42,0,1004,1004,1
1,42,0,1006,1006,1
1,42,0,1025,1025,1
1,42,0,1111,1111,1
1,42,0,1168,1168,1
1,42,0,1175,1175,1
1,42,0,1211,1211,1
1,42,0,1242,1242,1
1,42,0,1252,1253,2
1,42,0,1310,1310,1
1,42,0,1314,1320,7
1,42,0,1323,1323,1
1,42,0,1368,1370,3
1,42,0,1383,1383,1
1,42,0,1386,1390,5
1,42,0,1404,1404,1
1,42,0,1607,1609,3
1,42,0,1722,1723,2
1,42,0,1772,1773,2
1,42,0,1777,1777,1
1,42,0,1786,1787,2
1,42,0,1838,1838,1
1,42,0,1926,1937,12
1,42,0,2025,2025,1
1,42,0,2119,2130,12
1,42,0,2135,2136,2
1,42,0,2140,2154,15
1,42,0,2157,2171,15
1,42,0,2173,2177,5
1,42,0,2181,2188,8
1,42,0,2194,2233,40
1,43,0,435,436,2
1,43,0,439,440,2
1,43,0,505,505,1
1,43,0,597,602,6
1,43,0,604,604,1
1,43,0,612,615,4
1,43,0,618,622,5
1,43,0,655,655,1
1,43,0,745,745,1
1,43,0,837,838,2
1,43,0,925,926,2
1,43,0,929,929,1
1,43,0,932,932,1
1,43,0,941,941,1
1,43,0,943,943,1
1,43,0,1112,1112,1
1,43,0,1115,1115,1
1,43,0,1125,1126,2
1,43,0,1128,1128,1
1,43,0,1130,1135,6
1,43,0,1176,1176,1
1,43,0,1179,1179,1
1,43,0,1256,1256,1
1,43,0,1396,1396,1
1,43,0,1398,1399,2
1,43,0,1401,1401,1
1,43,0,1429,1429,1
1,43,0,1494,1495,2
1,43,0,1497,1498,2
1,43,0,1500,1500,1
1,43,0,1639,1642,4
1,43,0,1659,1659,1
1,43,0,1662,1662,1
1,43,0,1668,1670,3
1,43,0,1688,1690,3
1,43,0,1704,1708,5
1,43,0,1710,1712,3
1,43,0,1715,1720,6
1,43,0,1722,1725,4
1,43,0,1907,1907,1
1,47,17,456,456,1
1,47,17,469,470,2
1,47,17,476,476,1
1,47,17,1131,1131,1
1,47,17,1497,1497,1
1,47,17,1708,1710,3
1,47,17,1712,1713,2
1,47,17,1719,1719,1
1,47,17,1769,1769,1
1,47,17,2056,2056,1
1,47,17,2109,2109,1
1,47,17,2112,2112,1
1,47,17,2136,2136,1
1,47,17,2138,2140,3
1,47,17,2145,2149,5
1,47,17,2152,2165,14
1,47,17,2173,2187,15
1,47,17,2250,2250,1
1,47,17,2316,2316,1
1,47,17,2322,2322,1
1,47,17,2324,2324,1
1,47,17,2328,2333,6
1,47,17,2344,2344,1
1,47,17,2360,2360,1
1,47,17,2362,2362,1
1,47,17,2367,2370,4
1,47,17,2374,2374,1
1,47,17,2377,2378,2
1,47,17,2381,2381,1
1,47,17,2390,2390,1
1,47,17,2396,2396,1
1,47,17,2398,2398,1
1,47,17,2405,2405,1
1,47,17,2413,2414,2
1,47,17,2417,2418,2
1,47,17,2420,2421,2
1,47,17,2427,2427,1
1,47,17,2449,2449,1
1,47,17,2451,2454,4
1,47,17,2456,2469,14
1,43,17,469,469,1
1,43,17,1066,1066,1
1,43,17,1075,1075,1
1,43,17,1522,1525,4
1,43,17,1527,1528,2
1,43,17,1770,1771,2
1,43,17,1920,1923,4
1,43,17,1942,1942,1
1,43,17,1946,1946,1
1,43,17,1948,1949,2
1,43,17,1953,1953,1
1,43,17,1956,1959,4
1,43,17,1961,1964,4
1,43,17,1966,1966,1
1,43,17,1971,1971,1
1,43,17,1980,1985,6
1,43,17,1987,1995,9
1,43,17,1997,2001,5
1,43,17,2113,2113,1
1,43,17,2119,2120,2
1,43,17,2181,2182,2
1,43,17,2206,2206,1
1,43,17,2250,2250,1
1,43,17,2288,2288,1
1,43,17,2299,2299,1
1,43,17,2333,2333,1
1,43,17,2342,2342,1
1,43,17,2363,2364,2
1,49,9,496,501,6
1,49,9,507,507,1
1,49,9,509,509,1
1,49,9,511,518,8
1,49,9,522,522,1
1,49,9,524,532,9
1,49,9,538,547,10
1,49,9,550,557,8
1,49,9,559,560,2
1,49,9,562,575,14
1,49,9,577,580,4
1,49,9,582,585,4
1,49,9,587,591,5
1,49,9,594,600,7
1,49,9,602,602,1
1,49,9,605,605,1
1,49,9,608,611,4
1,49,9,613,613,1
1,49,9,654,654,1
1,49,9,662,664,3
1,49,9,667,667,1
1,49,9,670,673,4
1,49,9,675,677,3
1,49,9,679,681,3
1,49,9,684,686,3
1,49,9,691,693,3
1,49,9,695,695,1
1,49,9,698,700,3
1,49,9,703,705,3
1,49,9,707,712,6
1,49,9,715,723,9
1,49,9,725,727,3
1,49,9,729,729,1
1,49,9,731,739,9
1,49,9,744,746,3
1,49,9,748,749,2
1,49,9,753,756,4
1,49,9,759,761,3
1,49,9,764,764,1
1,49,9,768,769,2
1,49,9,868,869,2
1,49,9,883,883,1
1,49,9,1148,1148,1
1,49,9,1152,1152,1
1,49,9,1155,1155,1
1,46,9,499,501,3
1,46,9,503,503,1
1,46,9,505,508,4
1,46,9,510,513,4
1,46,9,515,516,2
1,46,9,518,518,1
1,46,9,520,520,1
1,46,9,527,527,1
1,46,9,538,538,1
1,46,9,540,549,10
1,46,9,551,563,13
1,46,9,569,589,21
1,46,9,591,597,7
1,46,9,599,606,8
1,46,9,949,949,1
1,46,9,1024,1024,1
1,46,9,1027,1027,1
1,46,9,1050,1052,3
1,46,9,1095,1095,1
1,46,9,1136,1136,1
1,46,9,1174,1174,1
1,46,9,1263,1263,1
1,46,9,1265,1265,1
1,46,9,1308,1308,1
1,46,9,1383,1383,1
1,46,9,1405,1405,1
1,46,9,1407,1409,3
1,46,9,1411,1413,3
1,46,9,1421,1422,2
1,46,9,1621,1621,1
1,46,9,1626,1626,1
1,46,9,1648,1648,1
1,46,9,1708,1711,4
1,46,9,1713,1717,5
1,46,9,1724,1725,2
1,46,9,1744,1744,1
1,46,9,1751,1752,2
1,46,9,1795,1795,1
1,46,9,1845,1845,1
1,46,9,1849,1849,1
1,46,9,1912,1912,1
1,46,9,1921,1921,1
1,46,9,1928,1929,2
1,46,9,1934,1934,1
1,46,9,1936,1936,1
1,46,9,1939,1939,1
1,46,9,1945,1945,1
1,46,9,1947,1947,1
1,46,9,1965,1966,2
1,46,9,1970,1971,2
1,46,9,1973,1973,1
1,46,9,1977,1977,1
1,46,9,1980,1985,6
1,46,9,1988,1988,1
1,46,9,1992,1993,2
1,46,9,1995,1997,3
1,46,9,2000,2002,3
1,46,9,2006,2007,2
1,46,9,2020,2020,1
1,46,9,2032,2032,1
1,46,9,2053,2053,1
1,46,9,2055,2056,2
1,46,9,2063,2063,1
1,46,9,2080,2080,1
1,46,9,2085,2085,1
1,46,9,2089,2089,1
1,46,9,2091,2093,3
1,46,9,2097,2098,2
1,46,9,2100,2100,1
1,46,9,2124,2124,1
1,46,9,2126,2126,1
1,46,9,2128,2128,1
1,46,9,2140,2143,4
1,46,9,2173,2173,1
1,46,9,2179,2180,2
1,46,9,2243,2243,1
1,46,9,2245,2254,10
1,46,9,2259,2259,1
1,46,9,2297,2297,1
1,46,9,2309,2309,1
1,46,9,2317,2317,1
1,46,9,2326,2327,2
1,46,9,2338,2339,2
1,44,9,505,506,2
1,44,9,522,522,1
1,44,9,524,526,3
1,44,9,538,538,1
1,44,9,540,541,2
1,44,9,543,543,1
1,44,9,554,554,1
1,44,9,579,579,1
1,44,9,582,585,4
1,44,9,593,597,5
1,44,9,599,609,11
1,44,9,626,626,1
1,44,9,749,757,9
1,44,9,759,759,1
1,44,9,761,761,1
1,44,9,764,764,1
1,44,9,812,812,1
1,44,9,869,869,1
1,44,9,883,883,1
1,44,9,935,935,1
1,44,9,937,938,2
1,44,9,940,940,1
1,44,9,945,945,1
1,44,9,947,947,1
1,44,9,949,951,3
1,44,9,972,972,1
1,44,9,977,978,2
1,45,9,512,512,1
1,45,9,529,529,1
1,45,9,548,549,2
1,45,9,560,562,3
1,45,9,586,592,7
1,45,9,600,602,3
1,45,9,605,612,8
1,45,9,1117,1117,1
1,45,9,1132,1132,1
1,45,9,1184,1184,1
1,45,9,1213,1213,1
1,45,9,1435,1436,2
1,45,9,1447,1447,1
1,45,9,1475,1480,6
1,45,9,1484,1484,1
1,45,9,1489,1491,3
1,45,9,1493,1494,2
1,45,9,1578,1579,2
1,45,9,1582,1585,4
1,45,9,1658,1660,3
1,45,9,1668,1668,1
1,45,9,1782,1782,1
1,45,9,2003,2006,4
1,45,9,2010,2017,8
1,45,9,2119,2119,1
1,45,9,2131,2132,2
1,45,9,2145,2146,2
1,45,9,2150,2152,3
1,45,9,2154,2154,1
1,45,9,2163,2164,2
1,45,9,2166,2167,2
1,45,9,2178,2179,2
1,45,9,2187,2187,1
1,45,9,2189,2190,2
1,45,9,2207,2209,3
1,45,9,2253,2253,1
1,45,9,2271,2272,2
1,45,9,2278,2278,1
1,45,9,2280,2283,4
1,45,9,2285,2289,5
1,45,9,2295,2298,4
1,45,9,2305,2310,6
1,45,9,2312,2312,1
1,45,9,2318,2320,3
1,45,9,2325,2327,3
1,45,9,2333,2333,1
1,44,17,522,522,1
1,44,17,574,589,16
1,44,17,591,592,2
1,44,17,594,594,1
1,44,17,599,599,1
1,44,17,603,603,1
1,44,17,609,610,2
1,44,17,777,777,1
1,44,17,815,815,1
1,44,17,834,834,1
1,44,17,843,843,1
1,44,17,845,845,1
1,44,17,866,866,1
1,44,17,869,869,1
1,44,17,947,947,1
1,44,17,949,950,2
1,43,9,552,552,1
1,43,9,558,561,4
1,43,9,564,566,3
1,43,9,572,572,1
1,43,9,576,576,1
1,43,9,580,580,1
1,43,9,631,631,1
1,43,9,634,634,1
1,43,9,869,870,2
1,43,9,960,960,1
1,43,9,1027,1027,1
1,43,9,1032,1032,1
1,43,9,1036,1036,1
1,43,9,1038,1038,1
1,43,9,1073,1073,1
1,43,9,1405,1405,1
1,43,9,1412,1412,1
1,43,9,1414,1414,1
1,43,9,1521,1521,1
1,43,9,1523,1526,4
1,43,9,1621,1621,1
1,43,9,1771,1771,1
1,43,9,1780,1791,12
1,43,9,1915,1917,3
1,43,9,1921,1921,1
1,43,9,1927,1935,9
1,43,9,1938,1942,5
1,43,9,1946,1946,1
1,43,9,1948,1950,3
1,43,9,1952,1954,3
1,43,9,1956,1956,1
1,43,9,1960,1960,1
1,43,9,1964,1965,2
1,43,9,1969,1970,2
1,43,9,1976,1976,1
1,43,9,1980,1981,2
1,43,9,1986,1993,8
1,43,9,1995,1996,2
1,43,9,2001,2002,2
1,43,9,2049,2050,2
1,43,9,2055,2055,1
1,43,9,2162,2162,1
1,43,9,2170,2170,1
1,43,9,2197,2202,6
1,43,9,2207,2207,1
1,43,9,2247,2248,2
1,43,9,2250,2255,6
1,43,9,2283,2283,1
1,43,9,2297,2297,1
1,43,9,2299,2300,2
1,43,9,2308,2308,1
1,43,9,2311,2311,1
1,43,9,2313,2313,1
1,43,9,2316,2316,1
1,43,9,2322,2322,1
1,43,9,2333,2333,1
1,43,9,2338,2338,1
1,43,9,2340,2340,1
1,47,9,565,573,9
1,47,9,586,600,15
1,47,9,602,613,12
1,47,9,656,656,1
1,47,9,659,664,6
1,47,9,674,689,16
1,47,9,691,702,12
1,47,9,706,710,5
1,47,9,712,712,1
1,47,9,715,735,21
1,47,9,737,737,1
1,47,9,739,769,31
1,47,9,782,782,1
1,47,9,788,788,1
1,47,9,1212,1213,2
1,47,9,1215,1218,4
1,47,9,1237,1239,3
1,47,9,1279,1279,1
1,47,9,1398,1400,3
1,47,9,1701,1701,1
1,47,9,1707,1710,4
1,47,9,1712,1725,14
1,47,9,1745,1754,10
1,47,9,1763,1763,1
1,47,9,1857,1858,2
1,47,9,2050,2050,1
1,47,9,2063,2063,1
1,47,9,2066,2067,2
1,47,9,2069,2075,7
1,47,9,2138,2139,2
1,47,9,2146,2146,1
1,47,9,2148,2153,6
1,47,9,2159,2160,2
1,47,9,2164,2165,2
1,47,9,2174,2175,2
1,47,9,2187,2188,2
1,47,9,2231,2231,1
1,47,9,2233,2233,1
1,47,9,2238,2238,1
1,47,9,2243,2243,1
1,47,9,2245,2245,1
1,47,9,2249,2250,2
1,47,9,2308,2308,1
1,47,9,2316,2328,13
1,47,9,2330,2339,10
1,42,3,583,587,5
1,42,3,590,590,1
1,42,3,593,594,2
1,42,3,600,600,1
1,42,3,602,615,14
1,42,3,623,626,4
1,42,3,628,631,4
1,42,3,633,634,2
1,42,3,640,647,8
1,42,3,649,649,1
1,42,3,835,836,2
1,42,3,838,838,1
1,42,3,840,842,3
1,42,3,874,880,7
1,42,3,883,883,1
1,42,3,885,885,1
1,42,3,887,891,5
1,42,3,895,896,2
1,42,3,901,901,1
1,42,3,903,909,7
1,42,3,911,912,2
1,42,3,914,914,1
1,42,3,957,961,5
1,42,3,963,963,1
1,42,3,965,970,6
1,42,3,1001,1003,3
1,42,3,1005,1006,2
1,42,3,1026,1026,1
1,42,3,1034,1034,1
1,42,3,1111,1115,5
1,42,3,1117,1117,1
1,42,3,1122,1123,2
1,42,3,1133,1134,2
1,42,3,1142,1143,2
1,42,3,1149,1151,3
1,42,3,1153,1153,1
1,42,3,1156,1156,1
1,42,3,1163,1169,7
1,42,3,1173,1174,2
1,42,3,1176,1176,1
1,42,3,1178,1178,1
1,42,3,1180,1181,2
1,42,3,1183,1189,7
1,42,3,1195,1198,4
1,42,3,1200,1205,6
1,42,3,1207,1210,4
1,42,3,1215,1218,4
1,42,3,1221,1221,1
1,42,3,1223,1224,2
1,42,3,1226,1229,4
1,42,3,1233,1234,2
1,42,3,1237,1237,1
1,42,3,1241,1242,2
1,42,3,1245,1245,1
1,42,3,1248,1248,1
1,42,3,1250,1252,3
1,42,3,1254,1255,2
1,42,3,1263,1263,1
1,42,3,1266,1268,3
1,42,3,1276,1278,3
1,42,3,1285,1287,3
1,42,3,1290,1292,3
1,42,3,1301,1301,1
1,42,3,1306,1314,9
1,42,3,1316,1318,3
1,42,3,1320,1330,11
1,42,3,1338,1344,7
1,42,3,1359,1362,4
1,42,3,1364,1365,2
1,42,3,1367,1367,1
1,42,3,1369,1374,6
1,42,3,1380,1381,2
1,42,3,1384,1385,2
1,42,3,1391,1396,6
