Day,Node 1,Node 2,Start,End,Duration
1,46,17,420,420,1
1,46,17,422,422,1
1,46,17,429,429,1
1,46,17,435,435,1
1,46,17,447,447,1
1,46,17,451,451,1
1,46,17,456,456,1
1,46,17,461,461,1
1,46,17,472,472,1
1,46,17,475,475,1
1,46,17,478,478,1
1,46,17,487,488,2
1,46,17,491,491,1
1,46,17,493,496,4
1,46,17,498,498,1
1,46,17,502,502,1
1,46,17,504,504,1
1,46,17,517,517,1
1,46,17,523,526,4
1,46,17,528,528,1
1,46,17,535,536,2
1,46,17,539,539,1
1,46,17,550,550,1
1,46,17,1266,1266,1
1,46,17,1410,1410,1
1,46,17,1601,1601,1
1,46,17,1745,1745,1
1,46,17,1918,1919,2
1,46,17,1930,1931,2
1,46,17,1938,1938,1
1,46,17,1941,1941,1
1,46,17,1949,1949,1
1,46,17,1963,1963,1
1,46,17,1967,1967,1
1,46,17,1969,1969,1
1,46,17,1976,1976,1
1,46,17,1989,1991,3
1,46,17,1998,1999,2
1,46,17,2054,2054,1
1,46,17,2061,2062,2
1,46,17,2068,2069,2
1,46,17,2074,2074,1
1,46,17,2079,2079,1
1,46,17,2127,2127,1
1,46,17,2144,2144,1
1,46,17,2260,2260,1
1,46,17,2343,2343,1
1,46,17,2345,2346,2
1,46,17,2369,2369,1
1,46,17,2391,2391,1
1,48,0,424,425,2
1,48,0,432,432,1
1,48,0,442,443,2
1,48,0,459,460,2
1,48,0,474,474,1
1,48,0,476,476,1
1,48,0,481,482,2
1,48,0,484,486,3
1,48,0,496,496,1
1,48,0,504,504,1
1,48,0,507,508,2
1,48,0,510,511,2
1,48,0,513,513,1
1,48,0,517,517,1
1,48,0,522,522,1
1,48,0,526,526,1
1,48,0,528,528,1
1,48,0,532,532,1
1,48,0,536,536,1
1,48,0,538,538,1
1,48,0,540,540,1
1,48,0,543,543,1
1,48,0,546,546,1
1,48,0,553,553,1
1,48,0,557,558,2
1,48,0,561,561,1
1,48,0,566,566,1
1,48,0,577,577,1
1,48,0,583,584,2
1,48,0,589,589,1
1,48,0,606,606,1
1,48,0,624,624,1
1,48,0,628,628,1
1,48,0,656,656,1
1,48,0,673,673,1
1,48,0,683,683,1
1,48,0,690,690,1
1,48,0,731,731,1
1,48,0,753,753,1
1,48,0,758,758,1
1,48,0,763,763,1
1,48,0,788,788,1
1,48,0,805,805,1
1,48,0,811,811,1
1,48,0,876,876,1
1,48,0,886,886,1
1,48,0,1070,1070,1
1,48,0,1366,1366,1
1,48,0,1373,1374,2
1,48,0,2154,2155,2
1,48,0,2158,2159,2
1,44,0,432,435,4
1,44,0,678,678,1
1,44,0,680,680,1
1,44,0,684,684,1
1,44,0,704,705,2
1,44,0,734,735,2
1,43,17,469,469,1
1,43,17,1066,1066,1
1,43,17,1075,1075,1
1,43,17,1522,1522,1
1,43,17,1527,1528,2
1,43,17,1920,1920,1
1,43,17,1922,1923,2
1,43,17,1957,1958,2
1,43,17,1961,1963,3
1,43,17,1966,1966,1
1,43,17,1971,1971,1
1,43,17,1982,1985,4
1,43,17,1997,2000,4
1,43,17,2113,2113,1
1,43,17,2119,2119,1
1,43,17,2181,2181,1
1,43,17,2288,2288,1
1,49,9,496,498,3
1,49,9,512,512,1
1,49,9,514,515,2
1,49,9,528,529,2
1,49,9,531,532,2
1,49,9,538,538,1
1,49,9,540,540,1
1,49,9,542,542,1
1,49,9,546,547,2
1,49,9,553,554,2
1,49,9,556,556,1
1,49,9,562,562,1
1,49,9,565,565,1
1,49,9,572,573,2
1,49,9,578,579,2
1,49,9,582,582,1
1,49,9,584,584,1
1,49,9,589,590,2
1,49,9,608,608,1
1,49,9,610,610,1
1,49,9,613,613,1
1,49,9,654,654,1
1,49,9,670,670,1
1,49,9,672,672,1
1,49,9,677,677,1
1,49,9,679,680,2
1,49,9,686,686,1
1,49,9,692,693,2
1,49,9,703,703,1
1,49,9,705,705,1
1,49,9,707,707,1
1,49,9,720,720,1
1,49,9,731,734,4
1,49,9,736,736,1
1,49,9,745,746,2
1,49,9,761,761,1
1,44,9,505,505,1
1,44,9,600,600,1
1,44,9,602,602,1
1,44,9,608,608,1
1,44,9,751,751,1
1,44,9,753,753,1
1,44,9,759,759,1
1,44,9,761,761,1
1,44,9,977,977,1
1,46,9,538,538,1
1,46,9,543,544,2
1,46,9,554,554,1
1,46,9,570,570,1
1,46,9,573,573,1
1,46,9,575,575,1
1,46,9,578,579,2
1,46,9,581,581,1
1,46,9,1051,1051,1
1,46,9,1407,1408,2
1,46,9,1711,1711,1
1,46,9,1714,1715,2
1,46,9,1849,1849,1
1,46,9,1912,1912,1
1,46,9,1921,1921,1
1,46,9,1928,1928,1
1,46,9,1970,1970,1
1,46,9,1984,1984,1
1,46,9,1988,1988,1
1,46,9,2002,2002,1
1,46,9,2007,2007,1
1,46,9,2032,2032,1
1,46,9,2053,2053,1
1,46,9,2093,2093,1
1,46,9,2143,2143,1
1,46,9,2249,2249,1
1,46,9,2252,2252,1
1,46,9,2317,2317,1
1,42,0,567,568,2
1,42,0,576,577,2
1,42,0,579,579,1
1,42,0,592,592,1
1,42,0,596,596,1
1,42,0,599,601,3
1,42,0,625,625,1
1,42,0,639,640,2
1,42,0,648,648,1
1,42,0,838,838,1
1,42,0,840,841,2
1,42,0,883,883,1
1,42,0,913,913,1
1,42,0,969,969,1
1,42,0,1253,1253,1
1,42,0,1319,1319,1
1,42,0,1369,1369,1
1,42,0,1722,1722,1
1,42,0,2126,2127,2
1,42,0,2141,2143,3
1,42,0,2152,2152,1
1,42,0,2158,2158,1
1,42,0,2164,2165,2
1,42,0,2175,2175,1
1,42,0,2202,2204,3
1,42,0,2211,2211,1
1,44,17,574,577,4
1,44,17,580,581,2
1,44,17,587,589,3
1,44,17,592,592,1
1,42,3,583,583,1
1,42,3,585,585,1
1,42,3,607,608,2
1,42,3,610,611,2
1,42,3,624,624,1
1,42,3,644,644,1
1,42,3,836,836,1
1,42,3,875,875,1
1,42,3,878,879,2
1,42,3,903,903,1
1,42,3,906,906,1
1,42,3,957,957,1
1,42,3,968,968,1
1,42,3,1156,1156,1
1,42,3,1168,1168,1
1,42,3,1201,1201,1
1,42,3,1209,1209,1
1,42,3,1227,1227,1
1,42,3,1237,1237,1
1,42,3,1242,1242,1
1,42,3,1309,1310,2
1,42,3,1341,1341,1
1,42,3,1404,1404,1
1,42,3,1610,1610,1
1,42,3,1723,1725,3
1,42,3,1835,1835,1
1,42,3,1936,1937,2
1,42,3,2118,2119,2
1,42,3,2130,2131,2
1,42,3,2137,2137,1
1,42,3,2139,2139,1
1,42,3,2157,2157,1
1,42,3,2171,2172,2
1,42,3,2177,2178,2
1,42,3,2180,2180,1
1,42,3,2189,2190,2
1,42,3,2229,2229,1
1,42,3,2308,2311,4
1,42,3,2314,2315,2
1,47,9,586,586,1
1,47,9,589,589,1
1,47,9,603,607,5
1,47,9,610,610,1
1,47,9,613,613,1
