Simulation,Beta_flu,Beta_mrsa,Delta,Initial_infected_flu,Initial_infected_mrsa,Contact Number,Day,S,I_flu,I_mrsa,I_both,I_mrsa_R_flu,S_mrsa_R_flu
1,0.3,0.05,0.6,2,2,10,0,47,2,2,0,0,0
1,0.3,0.05,0.6,2,2,10,1,29,13,1,8,0,0
1,0.3,0.05,0.6,2,2,10,2,9,26,1,12,0,3
1,0.3,0.05,0.6,2,2,10,3,0,31,1,14,0,5
1,0.3,0.05,0.6,2,2,10,4,0,26,1,16,1,7
1,0.3,0.05,0.6,2,2,10,5,0,23,1,17,1,9
1,0.3,0.05,0.6,2,2,10,6,0,21,1,18,3,8
1,0.3,0.05,0.6,2,2,10,7,0,18,1,18,3,11
1,0.3,0.05,0.6,2,2,10,8,0,18,1,18,5,9
1,0.3,0.05,0.6,2,2,10,9,0,17,1,18,4,11
1,0.3,0.05,0.6,2,2,10,10,0,16,1,18,5,11
1,0.3,0.05,0.6,2,2,10,11,0,16,1,18,6,10
1,0.3,0.05,0.6,2,2,10,12,0,14,1,18,7,11
1,0.3,0.05,0.6,2,2,10,13,0,12,1,19,8,11
1,0.3,0.05,0.6,2,2,10,14,0,11,1,18,7,14
1,0.3,0.05,0.6,2,2,10,15,0,9,1,20,10,11
1,0.3,0.05,0.6,2,2,10,16,0,9,1,20,13,8
1,0.3,0.05,0.6,2,2,10,17,0,7,1,22,13,8
1,0.3,0.05,0.6,2,2,10,18,0,7,0,23,15,6
1,0.3,0.05,0.6,2,2,10,19,0,6,0,23,14,8
1,0.3,0.05,0.6,2,2,10,20,0,4,0,24,15,8
1,0.3,0.05,0.6,2,2,10,21,0,4,0,24,15,8
1,0.3,0.05,0.6,2,2,10,22,0,4,0,24,15,8
1,0.3,0.05,0.6,2,2,10,23,0,3,0,24,17,7
1,0.3,0.05,0.6,2,2,10,24,0,3,0,24,16,8
1,0.3,0.05,0.6,2,2,10,25,0,3,0,23,18,7
1,0.3,0.05,0.6,2,2,10,26,0,3,0,23,18,7
1,0.3,0.05,0.6,2,2,10,27,0,3,0,23,20,5
1,0.3,0.05,0.6,2,2,10,28,0,2,0,22,19,8
1,0.3,0.05,0.6,2,2,10,29,0,2,0,22,19,8
1,0.3,0.05,0.6,2,2,10,30,0,2,0,22,21,6
2,0.3,0.05,0.6,2,2,10,0,47,2,2,0,0,0
2,0.3,0.05,0.6,2,2,10,1,30,15,1,5,0,0
2,0.3,0.05,0.6,2,2,10,2,10,28,1,9,0,3
2,0.3,0.05,0.6,2,2,10,3,0,34,1,12,1,3
2,0.3,0.05,0.6,2,2,10,4,0,26,1,17,1,6
2,0.3,0.05,0.6,2,2,10,5,0,23,1,17,1,9
2,0.3,0.05,0.6,2,2,10,6,0,21,1,19,4,6
2,0.3,0.05,0.6,2,2,10,7,0,21,1,19,4,6
2,0.3,0.05,0.6,2,2,10,8,0,21,1,19,4,6
2,0.3,0.05,0.6,2,2,10,9,0,20,1,19,4,7
2,0.3,0.05,0.6,2,2,10,10,0,19,0,20,4,8
2,0.3,0.05,0.6,2,2,10,11,0,18,0,21,4,8
2,0.3,0.05,0.6,2,2,10,12,0,18,0,21,4,8
2,0.3,0.05,0.6,2,2,10,13,0,17,0,21,4,9
2,0.3,0.05,0.6,2,2,10,14,0,17,0,21,4,9
2,0.3,0.05,0.6,2,2,10,15,0,16,0,22,4,9
2,0.3,0.05,0.6,2,2,10,16,0,14,0,22,4,11
2,0.3,0.05,0.6,2,2,10,17,0,14,0,22,6,9
2,0.3,0.05,0.6,2,2,10,18,0,13,0,21,6,11
2,0.3,0.05,0.6,2,2,10,19,0,12,0,20,6,13
2,0.3,0.05,0.6,2,2,10,20,0,12,0,20,5,14
2,0.3,0.05,0.6,2,2,10,21,0,12,0,20,4,15
2,0.3,0.05,0.6,2,2,10,22,0,12,0,20,6,13
